Row,R,G,B,H,S,V,L,a,b,Y,Cb,Cr
VERDE,0,41,0,0.0511876006441224,0.348739495798319,0.156862745098039,13.9813861122643,-47.5575510573638,29.4469062791021,16,-51,-28
VERDOLENGO,96,0,0,-0.155759719346676,0.446918209514882,0.349019607843137,16.6646295152413,2.04152122377294,32.495672397067,24,-60,19
CEREJA,100,0,0,-0.189613185403532,0.374004623683535,0.349019607843137,8.7315593828182,40.2886335267247,10.9680977720861,0,-24,43
PASSA,10,0,3,0.496356682769726,-0.0857843137254902,0,-7.80736402011426,8.05152467465178,-18.4121907317742,-12,-2,3
